         505017 function calls (481555 primitive calls) in 84.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1324    0.002    0.000    0.014    0.000 {method 'any' of 'numpy.ndarray' objects}
     2827    0.013    0.000    0.013    0.000 Clip.py:389(<lambda>)
     1336    0.008    0.000    0.013    0.000 {method 'format' of 'str' objects}
     1324    0.001    0.000    0.012    0.000 _methods.py:58(_any)
    11668    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
     1326    0.011    0.000    0.011    0.000 {built-in method numpy.arange}
      689    0.004    0.000    0.011    0.000 std.py:102(acquire)
     1325    0.002    0.000    0.011    0.000 fromnumeric.py:3618(round)
     1324    0.002    0.000    0.010    0.000 {method 'min' of 'numpy.ndarray' objects}
     1334    0.006    0.000    0.009    0.000 utils.py:273(_is_ascii)
     1332    0.008    0.000    0.009    0.000 std.py:400(format_interval)
     11/7    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      5/2    0.000    0.000    0.008    0.004 {built-in method builtins.__import__}
     1324    0.001    0.000    0.008    0.000 _methods.py:46(_amin)
     1325    0.002    0.000    0.008    0.000 fromnumeric.py:51(_wrapfunc)
    20380    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
     2828    0.006    0.000    0.008    0.000 proglog.py:38(log)
        6    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
     3992    0.008    0.000    0.008    0.000 std.py:231(__call__)
     2834    0.005    0.000    0.008    0.000 proglog.py:242(<lambda>)
        1    0.000    0.000    0.007    0.007 AudioFileClip.py:86(close)
        3    0.000    0.000    0.007    0.002 readers.py:147(close_proc)
    11503    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
     5130    0.007    0.000    0.007    0.000 {built-in method time.time}
      667    0.005    0.000    0.007    0.000 std.py:1446(format_dict)
     1324    0.001    0.000    0.007    0.000 {method 'max' of 'numpy.ndarray' objects}
      689    0.004    0.000    0.007    0.000 std.py:106(release)
        1    0.000    0.000    0.006    0.006 __init__.py:1(<module>)
     2003    0.006    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.006    0.006 readers.py:67(initialize)
        1    0.000    0.000    0.006    0.006 ffmpeg_writer.py:68(__init__)
        6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
     3509    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.006    0.006 ffmpeg_audiowriter.py:37(__init__)
        1    0.000    0.000    0.006    0.006 ffmpeg_reader.py:76(initialize)
     1325    0.005    0.000    0.005    0.000 {method 'round' of 'numpy.ndarray' objects}
     1499    0.005    0.000    0.005    0.000 ffmpeg_reader.py:107(skip_frames)
10152/10132    0.005    0.000    0.005    0.000 {built-in method builtins.len}
     1324    0.001    0.000    0.005    0.000 _methods.py:42(_amax)
     1324    0.005    0.000    0.005    0.000 {built-in method numpy.zeros}
    14145    0.005    0.000    0.005    0.000 proglog.py:148(bars)
     2836    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.004    0.004 context.py:1(<module>)
      667    0.003    0.000    0.004    0.000 std.py:186(__format__)
        6    0.004    0.001    0.004    0.001 {built-in method _io.open_code}
      689    0.004    0.000    0.004    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      665    0.003    0.000    0.003    0.000 {built-in method now}
