         8381846 function calls (8245540 primitive calls) in 14.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   368258    0.108    0.000    0.156    0.000 _parser.py:167(__getitem__)
   315342    0.094    0.000    0.154    0.000 _parser.py:260(get)
        1    0.004    0.004    0.150    0.150 YoutubeDL.py:883(add_default_info_extractors)
   152357    0.071    0.000    0.145    0.000 __init__.py:305(escape)
    45965    0.035    0.000    0.140    0.000 __init__.py:164(match)
     4404    0.022    0.000    0.129    0.000 _utils.py:2747(js_to_json)
        4    0.000    0.000    0.128    0.032 YoutubeDL.py:3755(pre_process)
    32008    0.018    0.000    0.127    0.000 parse.py:929(quote_plus)
   715063    0.113    0.000    0.113    0.000 {method 'append' of 'list' objects}
    32347    0.026    0.000    0.107    0.000 parse.py:875(quote)
14420/14416    0.015    0.000    0.106    0.000 __init__.py:183(sub)
        2    0.000    0.000    0.100    0.050 connection.py:192(_new_conn)
        2    0.000    0.000    0.100    0.050 connection.py:27(create_connection)
5715/5346    0.035    0.000    0.100    0.000 traversal.py:251(apply_path)
      2/1    0.021    0.011    0.099    0.099 _utils.py:5288(orderedSet_from_options)
        1    0.000    0.000    0.093    0.093 YoutubeDL.py:3165(__forced_printings)
        9    0.000    0.000    0.090    0.010 __init__.py:71(import_module)
     11/9    0.000    0.000    0.090    0.010 <frozen importlib._bootstrap>:1375(_gcd_import)
     1019    0.004    0.000    0.088    0.000 parse.py:715(parse_qs)
        2    0.000    0.000    0.088    0.044 socket.py:960(getaddrinfo)
        2    0.088    0.044    0.088    0.044 {built-in method _socket.getaddrinfo}
42200/42118    0.041    0.000    0.086    0.000 {method 'sub' of 're.Pattern' objects}
       91    0.001    0.000    0.086    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
     2904    0.008    0.000    0.085    0.000 jsinterp.py:339(_separate_at_paren)
     1019    0.019    0.000    0.084    0.000 parse.py:757(parse_qsl)
469596/442097    0.073    0.000    0.082    0.000 {built-in method builtins.len}
3756/3734    0.075    0.000    0.079    0.000 _utils.py:771(_iter)
       13    0.001    0.000    0.077    0.006 _utils.py:769(orderedSet)
   170092    0.048    0.000    0.076    0.000 _parser.py:175(append)
2440/2432    0.027    0.000    0.075    0.000 {built-in method builtins.__build_class__}
    32162    0.040    0.000    0.072    0.000 parse.py:951(quote_from_bytes)
     10/4    0.000    0.000    0.072    0.018 {built-in method builtins.__import__}
   358990    0.071    0.000    0.071    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.071    0.071 YoutubeDL.py:3766(post_process)
       21    0.008    0.000    0.068    0.003 _utils.py:3182(render_table)
25911/5062    0.057    0.000    0.067    0.000 _parser.py:177(getwidth)
     2039    0.013    0.000    0.066    0.000 _compiler.py:514(_compile_info)
        6    0.002    0.000    0.063    0.011 _utils.py:1258(unified_timestamp)
  121/108    0.000    0.000    0.062    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   152357    0.057    0.000    0.057    0.000 {method 'translate' of 'str' objects}
    30370    0.011    0.000    0.057    0.000 parse.py:793(_unquote)
      220    0.001    0.000    0.056    0.000 {built-in method strptime}
       91    0.001    0.000    0.051    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.050    0.050 cookies.py:1(<module>)
   125371    0.049    0.000    0.049    0.000 {built-in method fromkeys}
      220    0.000    0.000    0.049    0.000 _strptime.py:671(_strptime_datetime)
      220    0.002    0.000    0.048    0.000 _strptime.py:413(_strptime)
9130/9128    0.021    0.000    0.047    0.000 _utils.py:2233(__getitem__)
    30370    0.016    0.000    0.046    0.000 parse.py:830(unquote_plus)
