         4409 function calls (4402 primitive calls) in 1.123 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        2    0.000    0.000    0.000    0.000 ssl.py:1252(sendall)
        1    0.000    0.000    0.000    0.000 util.py:63(log_info)
        1    0.000    0.000    0.000    0.000 openai_object.py:104(construct_from)
       30    0.000    0.000    0.000    0.000 <frozen _collections_abc>:897(__iter__)
    81/79    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        4    0.000    0.000    0.000    0.000 cookiejar.py:1015(set_ok_domain)
        2    0.000    0.000    0.000    0.000 cookiejar.py:150(_str2time)
        1    0.000    0.000    0.000    0.000 client.py:1322(endheaders)
        1    0.000    0.000    0.000    0.000 client.py:1084(_send_output)
        9    0.000    0.000    0.000    0.000 client.py:1294(putheader)
        1    0.000    0.000    0.000    0.000 connectionpool.py:256(_get_conn)
        1    0.000    0.000    0.000    0.000 utils.py:76(proxy_bypass_registry)
       24    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       31    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8ABE328A0}
       65    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 connection.py:335(putrequest)
       44    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        1    0.000    0.000    0.000    0.000 engine_api_resource.py:63(__prepare_create_request)
        2    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        4    0.000    0.000    0.000    0.000 _utils.py:2262(__bool__)
        1    0.000    0.000    0.000    0.000 response.py:577(__init__)
        8    0.000    0.000    0.000    0.000 cookiejar.py:677(escape_path)
        2    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
        2    0.000    0.000    0.000    0.000 ssl.py:1225(send)
        4    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        1    0.000    0.000    0.000    0.000 request.py:191(body_to_chunks)
        1    0.000    0.000    0.000    0.000 client.py:1138(putrequest)
        9    0.000    0.000    0.000    0.000 parse.py:875(quote)
        2    0.000    0.000    0.000    0.000 encoder.py:183(encode)
       24    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        4    0.000    0.000    0.000    0.000 _utils.py:2233(__getitem__)
        4    0.000    0.000    0.000    0.000 message.py:600(get_content_type)
  248/247    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       46    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1004(set_ok_path)
       14    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        8    0.000    0.000    0.000    0.000 message.py:498(get)
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1044(_new_conn)
        4    0.000    0.000    0.000    0.000 cookiejar.py:647(request_path)
        1    0.000    0.000    0.000    0.000 message.py:487(items)
       41    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    0.000    0.000 error_object.py:8(refresh_from)
       33    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
       11    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
        4    0.000    0.000    0.000    0.000 message.py:533(get_all)
       34    0.000    0.000    0.000    0.000 __init__.py:330(_compile)
       69    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 client.py:213(_read_headers)
       17    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
        3    0.000    0.000    0.000    0.000 adapters.py:240(init_poolmanager)
        6    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
        1    0.000    0.000    0.000    0.000 feedparser.py:102(push)
        7    0.000    0.000    0.000    0.000 utils.py:1034(check_header_validity)
        4    0.000    0.000    0.000    0.000 cookiejar.py:636(eff_request_host)
        3    0.000    0.000    0.000    0.000 {built-in method winreg.QueryValueEx}
       44    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
        1    0.000    0.000    0.000    0.000 models.py:658(__init__)
      134    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
        1    0.000    0.000    0.000    0.000 openai_object.py:131(refresh_from)
        2    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
        4    0.000    0.000    0.000    0.000 cookiejar.py:1389(_normalized_cookie_tuples)
        9    0.000    0.000    0.000    0.000 parse.py:951(quote_from_bytes)
        3    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
      127    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 url.py:349(_encode_target)
        7    0.000    0.000    0.000    0.000 __init__.py:1764(isEnabledFor)
       26    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
        1    0.000    0.000    0.000    0.000 connection.py:566(__init__)
        4    0.000    0.000    0.000    0.000 traversal.py:115(apply_key)
        1    0.000    0.000    0.000    0.000 adapters.py:396(build_connection_pool_key_attributes)
        6    0.000    0.000    0.000    0.000 __init__.py:1497(debug)
       12    0.000    0.000    0.000    0.000 cookies.py:49(get_full_url)
        1    0.000    0.000    0.000    0.000 connectionpool.py:81(__init__)
        2    0.000    0.000    0.000    0.000 response.py:807(_fp_read)
